,plus_code,place_name,subtype,masks,limited_entry,early_close,has_early,early_hours,delivery,has_pt,has_live,place_id
85,"3JH6+28 West Hollywood, California, USA",Bristol+Farms,gourmet,0,0,1,1,"[[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7]]",1,1,1,
86,"3JXQ+3F Los Angeles, California, USA",Bristol+Farms,gourmet,0,0,1,1,"[[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7]]",1,1,0,
87,"XH6J+F9 Westchester, Los Angeles, CA, USA",Bristol+Farms,gourmet,0,0,1,1,"[[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7]]",1,1,1,
88,"WJ27+7P Manhattan Beach, California, USA",Bristol+Farms,gourmet,0,0,1,1,"[[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7]]",1,1,1,
89,"4V92+G2 South Pasadena, California, USA",Bristol+Farms,gourmet,0,0,1,1,"[[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7]]",1,1,1,
90,"4V92+G2 South Pasadena, California, USA",Bristol+Farms,gourmet,0,0,1,1,"[[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7]]",0,1,1,
91,"QJ9J+RV Rolling Hills Estates, California, USA",Bristol+Farms,gourmet,0,0,1,1,"[[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7]]",1,1,0,
92,"V5QP+WP Yorba Linda, California, USA",Bristol+Farms,gourmet,0,0,1,1,"[[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7]]",0,1,1,
93,"J44G+GM Newport Beach, California, USA",Bristol+Farms,gourmet,0,0,1,1,"[[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7]]",1,1,0,
94,"3P4X+F7 Los Angeles, California, USA",Bunkerhill+Supermarket,supermarket,-1,-1,-1,-1,,0,1,0,
95,"3MRR+2C Los Angeles, California, USA",Catalina's+Supermarket,supermarket,-1,-1,-1,-1,,0,1,1,
96,"6CP2+2W Chatsworth, Los Angeles, CA, USA",City+Market,grocery store,1,1,1,1,"[[true,2,6,8],[false,,,],[true,2,6,8],[false,,,],[false,,,],[false,,,],[false,,,]]",0,1,0,
97,"6R54+58 Oxnard, California, USA",City+Market,grocery store,1,1,1,1,"[[true,2,6,8],[false,,,],[true,2,6,8],[false,,,],[false,,,],[false,,,],[false,,,]]",0,1,0,
98,"5JVF+FQ North Hollywood, Los Angeles, CA, USA",City+Market,grocery store,1,1,1,1,"[[true,2,6,8],[false,,,],[true,2,6,8],[false,,,],[false,,,],[false,,,],[false,,,]]",0,1,0,
99,"2JWX+6P Los Angeles, California, USA",City+Market,grocery store,1,1,1,1,"[[true,2,6,8],[false,,,],[true,2,6,8],[false,,,],[false,,,],[false,,,],[false,,,]]",0,1,0,
100,"6C24+63 Canoga Park, Los Angeles, CA, USA",Cixta+Enterprises+Inc,grocery store,1,0,0,1,"[[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8]]",0,0,0,
101,"2JH7+5J Culver City, California, USA",Co-Opportunity+Market+Culver+City,natural,1,0,1,1,"[[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8]]",1,1,1,
